id;name
1285;Öhman Etisk Index Japan
51667;Aktie-Ansvar Graal Offensiv
2254;SEB Hållbarhetsfond Global
965038;Invesco India Bond A USD Acc
167;Öhman Etisk Index Pacific
255288;Handelsbanken Realränte (A1 SEK)
92827;SPP Korträntefond
266588;ODIN Emerging Markets C
1268;Länsförsäkringar Japan Indexnära
862034;DNB Global Emerging Markets Indeks A
1100;Atlant Edge
114006;JPM Emerging Markets Equity A (acc) USD
766778;Jupiter Global Value L USD Acc
2983;Pictet-Health R USD
73607;Fidelity US High Yield A-Acc-EUR
370857;MS INVF Emerging Leaders Equity A
2106;Öhman Obligationsfond A
315589;BNP Paribas Global Envir Cl C
1295;Franklin Japan A(acc)JPY
1464;Handelsbanken Latinamerika Tema (A1 SEK)
118857;Ålandsbanken Global Aktie B
950780;Nordea 1 - Glb Gender Diversity BP SEK
2253;Länsförsäkringar Global Hållbar A
795773;Case All Star
346836;Plain Capital ArdenX
643537;GAM Star (Lux) - European Momentum D €
142;Barings Asia Growth ClassA USD Inc
288003;Allianz European Equity Div AT EUR
508257;Handelsbanken Euro Obligation
15212;Janus Henderson PanEurp SmarComs R€ Acc
766773;Danske Invest Eur Corp Sust Bond A SEK h
965035;Invesco Sustainable Allc A Acc EUR
2821;BGF World Mining A2
291;Lannebo Mixfond
70501;AS SICAV I SelEuro HYBd A Acc EUR
596635;Swedbank Robur Access Asien
1844;Fidelity United Kingdom A-Dis-GBP
1102;Aktie-Ansvar Graal HF
202568;Pareto Aksje Norge B
465121;LO Funds All Roads EUR PA
874194;Peak Global Macro (A) SEK
334675;BSF Dynamic Diversified Growth A2 SEK H
789173;DNB Global Lavkarbon A
48768;FIM Emerging Markets ESG
41567;Avanza Zero
801493;Danske Invest Europa (SEK) SA
289924;Threadneedle (Lux) Pan Eurp SmCp Opps AE
1630;SEB Hållbarhetsfond Norden C EUR – Lux
86287;Pictet-Clean Energy R USD
156028;Nordea 1 - European Corporate Bd HB SEK
436064;Danske Invest Nordiska Företagsobl SEK h
852914;SEF – Kavaljer Investmentbolagsfond A
882677;Invesco Cnttl Eur Sm Cp Eq A USD AD
186169;SEB Diversified C SEK - Lux
1604;BGF US Small & MidCap Opps A2
247;SEB Hållbarhetsfond Världen
553535;Elementa
882674;Invesco Korean Equity A USD AD
455102;BNP Paribas Sust Euro Corp Bd Cl C
153988;Franklin Japan A(acc)USD
2284;BGF Global Long-Horizon Equity A2 USD
70789;Schroder ISF Glb Em Mkt Opps A Acc USD
801498;Danske Invest Sverige SA
440975;HSBC GIF RMB Fixed Income AC
377807;Avanza 50
276112;Nordea Småbolagsfond Sverige
576695;LO Funds Alt Risk Premia USD PA
33107;Templeton Global Bond A(acc)EUR
70229;Candriam Quant Equities Europe C Acc EUR
2084;Länsförsäkringar Kort räntefond
2348;Templeton Growth (Euro) A(acc)EUR
2573;SEB Östeuropa ex Ryssland C EUR - Lux
600080;UB Asia REIT Plus A
216;SEB Trygg Placeringsfond
32;Barings ASEAN Frontiers A USD Inc
71332;Amundi Fds SBI FM India Eq A USD C
380;Fidelity Global Infras A-Dis-EUR
51;Templeton Asian Growth A(acc)USD
817894;Nordic Cross Stable Return R SEK
350597;Fidelity Global Corporate Bd A-Acc-EUR
70331;MS INVF US Growth A
69959;AS SICAV I Indian Equity A Acc USD
20949;Pictet-Premium Brands R EUR
375837;BSF Fixed Income Strategies A2 EUR
2007;SEB Sverigefond Småbolag C/R
600076;Swedbank Robur Access Japan
874193;Peak Core Strategies (A) SEK
74110;Holberg Rurik A
38393;Fidelity Emerging Mkt Dbt A-Acc-USD
1009153;Swedbank Robur Small Cap USA A
1039468;ODIN Small Cap C SEK
469956;Coeli Frontier Markets R SEK
366;SEB Teknologifond D USD - Lux utd
